tweet,label
"@collegemenfess situasi kita kayaknya sama. kampus ngadain offline padahal ppkm, bedanya daerahku masih level 3. tapi untungnya ada scan pedulilindungi dan jaga jarak. terus kemarin juga udah diwanti2 sama pihak prodi buat ga nurunin masker",
"@collegemenfess Engga nderrr, masill full online. Di sini ppkm level 3, ngeri banget kalo ada offline",1
"kemarin sempat offline beberapa matkul, minggu ini kayanya full online karena covid lagi merajalela di kampus dan pemberlakuan ppkm level 3",
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
